Nacimiento;Sexo;Residencia;Estrato;Frecuencia_compra;Sitio_compra;Base_compra;Impulso_compra;Combine_nueva;Info_etiqueta;Import_marquilla;Impacto_textil;Cal_impacto;Recurso_imp;Disposición_ropa;Uso_ropasegunda;Origen_compra
19/10/1986;Masculino;Bello;3;Una vez por semana.;Tiendas en centros comerciales., Tiendas de autor o marcas locales de diseño., Catálogos físicos o revistas de ventas., Internet.;Apariencia estética., Calidad., La marca o el almacén de compra., Los precios bajos.;La compro por deseo.;No.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Bajos;Agua.;La uso para otro fin.;Si.;Importada.
22/10/1986;Femenino;Bello;3;De 3 a cuatro veces por año.;Tiendas de autor o marcas locales de diseño.;Apariencia estética.;La compro por su utilidad.;No.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
29/10/1986;Femenino;Medellín;3;Una vez por mes.;La hago yo ;Las tendencias o conceptos de moda.;La compro por deseo.;Si.;No.;;Emisión de gases y uso de energía.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
3/11/1986;Femenino;Medellín;4;De 3 a cuatro veces por año.;Tiendas en centros comerciales., Tiendas de autor o marcas locales de diseño., Tiendas por departamentos o almacenes de cadena.;Apariencia estética., Utilidad., Las tendencias o conceptos de moda., Los precios bajos.;La compro por deseo.;Si.;No.;;Acumulación de residuos.;Altos;Agua.;La regalo o dono a alguien.;Si.;Importada.
13/11/1986;Femenino;Medellín;5;Una vez por mes.;Tiendas en centros comerciales.;Apariencia estética., Las tendencias o conceptos de moda., La marca o el almacén de compra., Los precios bajos.;La compro por deseo.;Si.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Altos;Agua.;La regalo o dono a alguien.;Si.;Importada.
2/12/1986;Femenino;Medellín;4;Una vez por mes.;Catálogos físicos o revistas de ventas.;El comercio justo.;La compro por deseo.;No.;No.;;Emisión de gases y uso de energía.;Medios;Aire.;La regalo o dono a alguien.;Si.;Nacional - Local.
12/12/1986;Masculino;Medellín;3;Dos veces al año.;Tiendas por departamentos o almacenes de cadena., Internet.;Calidad.;La compro por deseo.;No.;No.;;Tendencias de conceptos y diseños.;Medios;Aire.;La regalo o dono a alguien.;No.;Importada.
22/12/1986;Femenino;Medellín;3;De 3 a cuatro veces por año.;Tiendas en centros comerciales.;Apariencia estética., Utilidad., Los precios bajos.;La compro por deseo.;Si.;No.;;Tendencias de conceptos y diseños.;Medios;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
2/01/1987;Masculino;Medellín;4;Una vez al año.;Tiendas en centros comerciales., Internet.;Apariencia estética.;La compro por su utilidad.;Si.;No.;;Oportunidad de empleos.;Medios;Agua.;La tiro a la basura.;No.;Nacional - Local.
4/01/1987;Femenino;Sabaneta;3;Una vez por mes.;Tiendas en centros comerciales., Tiendas por departamentos o almacenes de cadena., Catálogos físicos o revistas de ventas., Internet.;Utilidad., Las tendencias o conceptos de moda., El comercio justo.;La compro por deseo.;Si.;No.;;Oportunidad de empleos.;Medios;Humano.;La regalo o dono a alguien.;No.;Nacional - Local.
15/01/1987;Femenino;Bello;3;Dos veces al año.;Tiendas en centros comerciales.;Que me guste;La compro por deseo.;Si.;Si.;Empresa fabricante.;Tendencias de conceptos y diseños.;Medios;Humano.;La regalo o dono a alguien.;No.;Importada.
16/01/1987;Femenino;Bello;3;Dos veces al año.;Tiendas en centros comerciales., Tiendas por departamentos o almacenes de cadena., Catálogos físicos o revistas de ventas.;Apariencia estética., Calidad., Los precios bajos.;La compro por su utilidad.;Si.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Altos;Suelo.;La regalo o dono a alguien.;Si.;Nacional - Local.
