Nacimiento;Sexo;Residencia;Estrato;Frecuencia_compra;Sitio_compra;Base_compra;Impulso_compra;Combine_nueva;Info_etiqueta;Import_marquilla;Impacto_textil;Cal_impacto;Recurso_imp;Disposición_ropa;Uso_ropasegunda;Origen_compra
4/01/1980;Femenino;Envigado;4;Una vez por mes.;Tiendas en centros comerciales.;Apariencia estética., Utilidad., Calidad., Las tendencias o conceptos de moda.;La compro por deseo.;Si.;No.;;El crecimiento económico de los países.;Altos;Agua.;La regalo o dono a alguien.;No.;Nacional - Local.
5/01/1980;Femenino;Medellín;3;De 3 a cuatro veces por año.;Todos los medios anteriores mencionados ;Apariencia estética.;La compro por su utilidad.;No.;No.;;Oportunidad de empleos.;Medios;Humano.;La regalo o dono a alguien.;Si.;Nacional - Local.
28/01/1980;Masculino;Medellín;3;Una vez por mes.;Tiendas en centros comerciales., Tiendas por departamentos o almacenes de cadena.;Calidad.;La compro por deseo.;No.;No.;;Tendencias de conceptos y diseños.;Medios;Aire.;La regalo o dono a alguien.;Si.;Nacional - Local.
4/02/1980;Femenino;Medellín;3;Una vez por mes.;Tiendas en centros comerciales.;Apariencia estética., Calidad., Los precios bajos.;La compro por deseo.;Si.;No.;;Tendencias de conceptos y diseños.;Altos;Agua.;La regalo o dono a alguien.;No.;Nacional - Local.
6/02/1980;Masculino;Medellín;5;Dos veces al año.;Tiendas en centros comerciales.;El comercio justo., Los precios bajos.;La compro por su utilidad.;Si.;Si.;Empresa fabricante.;Oportunidad de empleos.;Bajos;Humano.;La regalo o dono a alguien.;No.;Nacional - Local.
6/02/1980;Masculino;Medellín;5;Dos veces al año.;Tiendas en centros comerciales.;Utilidad., Calidad., Los precios bajos.;La compro por su utilidad.;Si.;Si.;Materiales.;Acumulación de residuos.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
4/03/1980;Masculino;Bello;5;Una vez por mes.;Tiendas de autor o marcas locales de diseño., Internet.;Apariencia estética., Utilidad.;La compro por deseo.;Si.;No.;;Tendencias de conceptos y diseños.;Altos;Agua.;La regalo o dono a alguien.;Si.;Importada.
7/03/1980;Masculino;Medellín;5;Una vez por mes.;Tiendas en centros comerciales., Internet.;Apariencia estética., Utilidad., Calidad., La marca o el almacén de compra., El comercio justo., Los precios bajos.;La compro por su utilidad.;Si.;Si.;Empresa fabricante.;Oportunidad de empleos.;Medios;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
5/04/1980;Masculino;Medellín;5;Dos veces al año.;Tiendas en centros comerciales.;Apariencia estética., Calidad.;La compro por su utilidad.;Si.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Medios;Suelo.;La regalo o dono a alguien.;No.;Importada.
15/04/1980;Femenino;Medellín;4;De 3 a cuatro veces por año.;Tiendas en centros comerciales., Tiendas por departamentos o almacenes de cadena., Catálogos físicos o revistas de ventas.;Apariencia estética., Utilidad., El comercio justo.;La compro por deseo.;Si.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Altos;Agua.;La uso para otro fin.;Si.;Nacional - Local.
19/04/1980;Femenino;Envigado;4;De 3 a cuatro veces por año.;Tiendas en centros comerciales., Tiendas de autor o marcas locales de diseño., Tiendas por departamentos o almacenes de cadena.;Apariencia estética., Utilidad., Calidad., Las tendencias o conceptos de moda., Referenciador, fashionista  o Blogger., Los precios bajos.;La compro por su utilidad.;Si.;No.;;Oportunidad de empleos.;Altos;Humano.;La regalo o dono a alguien.;No.;Nacional - Local.
25/04/1980;Femenino;Medellín;4;Una vez por mes.;Tiendas en centros comerciales.;Apariencia estética., Calidad., La marca o el almacén de compra.;La compro por deseo.;Si.;Si.;Materiales., Empresa fabricante.;Tendencias de conceptos y diseños.;Medios;Agua.;La regalo o dono a alguien.;No.;Nacional - Local.
4/05/1980;Femenino;Medellín;3;De 3 a cuatro veces por año.;Tiendas en centros comerciales.;Utilidad.;La compro por su utilidad.;No.;No.;;Tendencias de conceptos y diseños.;Medios;Aire.;La uso para otro fin.;Si.;Nacional - Local.
5/05/1980;Masculino;Medellín;3;De 3 a cuatro veces por año.;Tiendas en centros comerciales.;La marca o el almacén de compra.;La compro por deseo.;No.;Si.;Empresa fabricante.;Oportunidad de empleos.;Altos;Aire.;La regalo o dono a alguien.;No.;Nacional - Local.
14/05/1980;Femenino;Girardota;3;No compro.;mi mamá la confecciona;el estilo que me gusta ;La compro por su utilidad.;Si.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
20/05/1980;Femenino;Itagüí;4;Dos veces al año.;Tiendas en centros comerciales., Tiendas por departamentos o almacenes de cadena.;Apariencia estética., Calidad.;La compro por su utilidad.;Si.;No.;;Oportunidad de empleos.;Medios;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
30/06/1980;Masculino;Envigado;5;Una vez por mes.;Tiendas en centros comerciales., Tiendas por departamentos o almacenes de cadena., Internet.;Apariencia estética., Utilidad., Calidad., La marca o el almacén de compra.;La compro por su utilidad.;Si.;No.;;Tendencias de conceptos y diseños.;Medios;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
13/07/1980;Masculino;Medellín;3;De 3 a cuatro veces por año.;Tiendas en centros comerciales., Tiendas de autor o marcas locales de diseño., Internet.;Utilidad., Calidad., Gusto o estilo propio;La compro por su utilidad.;Si.;Si.;Materiales., Instrucciones de cuidado.;Oportunidad de empleos.;Medios;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
11/08/1980;Femenino;Medellín;1;De 3 a cuatro veces por año.;Tiendas en centros comerciales.;Los precios bajos.;La compro por su utilidad.;Si.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
2/09/1980;Femenino;Medellín;3;Dos veces al año.;Tiendas en centros comerciales.;Apariencia estética.;La compro por su utilidad.;No.;No.;;Acumulación de residuos.;Altos;Humano.;La regalo o dono a alguien.;No.;Nacional - Local.
4/10/1980;Masculino;Caldas;3;De 3 a cuatro veces por año.;Tiendas en centros comerciales.;Apariencia estética., Calidad.;La compro por deseo.;Si.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
30/10/1980;Femenino;Medellín;6;De 3 a cuatro veces por año.;Tiendas en centros comerciales.;Apariencia estética., Utilidad., Calidad., Las tendencias o conceptos de moda., El comercio justo.;La compro por su utilidad.;Si.;Si.;Instrucciones de cuidado., Lugar de fabricación.;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Altos;Agua.;La regalo o dono a alguien.;No.;Nacional - Local.
15/11/1980;Femenino;Medellín;3;De 3 a cuatro veces por año.;Tiendas en centros comerciales., Internet.;Apariencia estética., Utilidad.;La compro por deseo.;Si.;No.;;El crecimiento económico de los países.;Medios;Agua.;La regalo o dono a alguien.;No.;Nacional - Local.
5/12/1980;Femenino;Caldas;3;Una vez por mes.;Tiendas en centros comerciales.;La marca o el almacén de compra.;La compro por deseo.;Si.;No.;;Oportunidad de empleos.;Medios;Humano.;La regalo o dono a alguien.;No.;Nacional - Local.
16/12/1980;Femenino;Medellín;5;Una vez por semana.;Tiendas en centros comerciales., Internet.;Referenciador, fashionista  o Blogger.;La compro por deseo.;No.;No.;;Tendencias de conceptos y diseños.;Medios;Agua.;La regalo o dono a alguien.;No.;Importada.
17/12/1980;Femenino;Medellín;1;Dos veces al año.;Tiendas en centros comerciales.;Utilidad., Calidad.;La compro por su utilidad.;No.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Altos;Humano.;La regalo o dono a alguien.;No.;Nacional - Local.
20/12/1980;Masculino;Itagüí;3;Dos veces al año.;Tiendas en centros comerciales.;Calidad., Los precios bajos.;La compro por su utilidad.;No.;No.;;Contaminación de aguas y suelos.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
15/01/1981;Femenino;Medellín;4;De 3 a cuatro veces por año.;Tiendas en centros comerciales., Tiendas por departamentos o almacenes de cadena.;Apariencia estética., Calidad.;La compro por deseo.;No.;No.;;El crecimiento económico de los países.;Medios;Humano.;La regalo o dono a alguien.;Si.;Nacional - Local.
3/02/1981;Femenino;Medellín;5;De 3 a cuatro veces por año.;Tiendas en centros comerciales.;Las tendencias o conceptos de moda., La marca o el almacén de compra., Referenciador, fashionista  o Blogger.;La compro por deseo.;Si.;Si.;Materiales., Lugar de fabricación.;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Altos;Humano.;La regalo o dono a alguien.;No.;Nacional - Local.
4/02/1981;Femenino;Bello;3;Dos veces al año.;Tiendas por departamentos o almacenes de cadena.;Utilidad.;La compro por deseo.;Si.;No.;;Acumulación de residuos.;Medios;Humano.;La regalo o dono a alguien.;Si.;Nacional - Local.
5/02/1981;Femenino;Bello;3;Dos veces al año.;Tiendas en centros comerciales.;Calidad.;La compro por su utilidad.;Si.;No.;;Oportunidad de empleos.;Altos;Suelo.;La regalo o dono a alguien.;Si.;Nacional - Local.
1/03/1981;Masculino;Medellín;2;De 3 a cuatro veces por año.;Tiendas por departamentos o almacenes de cadena.;Apariencia estética., Calidad., Los precios bajos.;La compro por su utilidad.;No.;No.;;El crecimiento económico de los países.;Altos;Humano.;La regalo o dono a alguien.;Si.;Nacional - Local.
15/03/1981;Femenino;Medellín;3;Una vez por semana.;Tiendas en centros comerciales.;Apariencia estética., Utilidad., Calidad.;La compro por deseo.;Si.;No.;;Tendencias de conceptos y diseños.;Medios;Aire.;La regalo o dono a alguien.;Si.;Nacional - Local.
28/03/1981;Femenino;Medellín;4;Una vez por mes.;Tiendas en centros comerciales.;Apariencia estética.;La compro por deseo.;No.;No.;;Tendencias de conceptos y diseños.;Altos;Aire.;La regalo o dono a alguien.;Si.;Nacional - Local.
3/04/1981;Femenino;Bello;3;Dos veces al año.;Tiendas en centros comerciales., Tiendas por departamentos o almacenes de cadena.;Apariencia estética., Utilidad., Calidad.;La compro por su utilidad.;Si.;No.;;Emisión de gases y uso de energía.;Altos;Suelo.;La transformo en otra prenda u objeto..;Si.;Nacional - Local.
9/04/1981;Femenino;La Estrella;3;Una vez por mes.;Tiendas en centros comerciales.;Los precios bajos.;La compro por deseo.;Si.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
12/04/1981;Femenino;Envigado;4;De 3 a cuatro veces por año.;Tiendas en centros comerciales., Tiendas de autor o marcas locales de diseño., Internet.;Apariencia estética., Utilidad., Calidad., Las tendencias o conceptos de moda., Los precios bajos.;La compro por deseo.;Si.;No.;;Oportunidad de empleos.;Altos;Agua.;La regalo o dono a alguien.;No.;Nacional - Local.
2/05/1981;Masculino;Medellín;3;De 3 a cuatro veces por año.;Tiendas en centros comerciales., Tiendas por departamentos o almacenes de cadena., Catálogos físicos o revistas de ventas.;Apariencia estética.;La compro por deseo.;No.;No.;;Tendencias de conceptos y diseños.;Medios;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
9/05/1981;Femenino;Medellín;4;De 3 a cuatro veces por año.;Tiendas en centros comerciales., Tiendas de autor o marcas locales de diseño.;Apariencia estética., Referenciador, fashionista  o Blogger.;La compro por deseo.;Si.;Si.;Materiales., Lugar de fabricación., Empresa fabricante.;El crecimiento económico de los países.;Altos;Humano.;La regalo o dono a alguien.;Si.;Importada.
6/06/1981;Femenino;Medellín;4;Una vez por mes.;Tiendas en centros comerciales., Tiendas de autor o marcas locales de diseño., Catálogos físicos o revistas de ventas., Internet.;Apariencia estética., Calidad., Las tendencias o conceptos de moda.;La compro por deseo.;No.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Medios;Humano.;La regalo o dono a alguien.;Si.;Nacional - Local.
6/06/1981;Femenino;Girardota;2;Una vez al año.;Tiendas por departamentos o almacenes de cadena., Tiendas de segunda mano o roperos.;Utilidad., El comercio justo., Los precios bajos.;La compro por su utilidad.;Si.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Altos;Agua.;La transformo en otra prenda u objeto..;Si.;Nacional - Local.
29/06/1981;Femenino;Medellín;3;Una vez al año.;Tiendas en centros comerciales.;Apariencia estética.;La compro por su utilidad.;No.;Si.;Materiales.;Contaminación de aguas y suelos.;Medios;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
29/06/1981;Femenino;Medellín;4;Una vez al año.;Tiendas por departamentos o almacenes de cadena.;Utilidad.;La compro por su utilidad.;Si.;No.;;Acumulación de residuos.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
14/07/1981;Femenino;Medellín;6;Una vez por semana.;Tiendas en centros comerciales.;Las tendencias o conceptos de moda.;La compro por deseo.;Si.;No.;;Oportunidad de empleos.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
18/07/1981;Masculino;Medellín;5;De 3 a cuatro veces por año.;Tiendas en centros comerciales., Tiendas por departamentos o almacenes de cadena., Internet.;Apariencia estética., Las tendencias o conceptos de moda., La marca o el almacén de compra., Los precios bajos.;La compro por su utilidad.;Si.;Si.;Materiales., Instrucciones de cuidado., Lugar de fabricación.;Contaminación de aguas y suelos.;Altos;Agua.;La regalo o dono a alguien.;No.;Nacional - Local.
7/08/1981;Femenino;Medellín;2;De 3 a cuatro veces por año.;Tiendas en centros comerciales., Tiendas de autor o marcas locales de diseño.;Apariencia estética.;La compro por deseo.;Si.;No.;;Tendencias de conceptos y diseños.;Medios;Agua.;La regalo o dono a alguien.;No.;Nacional - Local.
9/09/1981;Femenino;Medellín;4;De 3 a cuatro veces por año.;Tiendas en centros comerciales., Tiendas por departamentos o almacenes de cadena., Catálogos físicos o revistas de ventas.;Apariencia estética., Los precios bajos.;La compro por deseo.;Si.;No.;;Contaminación de aguas y suelos.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
28/09/1981;Femenino;Medellín;5;Una vez por mes.;Tiendas en centros comerciales., Tiendas de autor o marcas locales de diseño., Internet.;Apariencia estética., Calidad., Los precios bajos.;La compro por deseo.;Si.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Altos;Suelo.;La regalo o dono a alguien.;Si.;Nacional - Local.
10/10/1981;Femenino;Medellín;3;De 3 a cuatro veces por año.;Tiendas de autor o marcas locales de diseño., Tiendas por departamentos o almacenes de cadena.;Apariencia estética., Calidad.;La compro por deseo.;Si.;Si.;Instrucciones de cuidado., Lugar de fabricación.;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
20/10/1981;Femenino;Sabaneta;4;Una vez por mes.;Tiendas en centros comerciales., Tiendas por departamentos o almacenes de cadena., Catálogos físicos o revistas de ventas., Internet.;Apariencia estética., Utilidad., Calidad., El comercio justo., Los precios bajos.;La compro por deseo.;No.;Si.;Materiales., Instrucciones de cuidado., Lugar de fabricación.;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
21/10/1981;Femenino;Medellín;3;De 3 a cuatro veces por año.;Tiendas en centros comerciales.;Apariencia estética.;La compro por deseo.;Si.;No.;;Contaminación de aguas y suelos.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
21/10/1981;Femenino;Medellín;5;De 3 a cuatro veces por año.;Tiendas en centros comerciales., Tiendas por departamentos o almacenes de cadena.;Apariencia estética., Utilidad., Calidad.;La compro por deseo.;No.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Altos;Agua.;La regalo o dono a alguien.;No.;Nacional - Local.
26/11/1981;Masculino;Sabaneta;3;De 3 a cuatro veces por año.;Tiendas en centros comerciales.;Apariencia estética., Utilidad., Calidad., El comercio justo., Los precios bajos.;La compro por deseo.;Si.;Si.;Lugar de fabricación., Empresa fabricante.;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Altos;Humano.;La regalo o dono a alguien.;Si.;Nacional - Local.
11/12/1981;Femenino;Medellín;2;De 3 a cuatro veces por año.;Tiendas en centros comerciales.;Apariencia estética.;La compro por su utilidad.;Si.;No.;;Oportunidad de empleos.;Medios;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
16/12/1981;Femenino;Medellín;5;De 3 a cuatro veces por año.;Tiendas en centros comerciales., Tiendas de autor o marcas locales de diseño.;Las tendencias o conceptos de moda., La marca o el almacén de compra., Materiales ecológicos., Los precios bajos.;La compro por deseo.;Si.;No.;;Tendencias de conceptos y diseños.;Medios;Humano.;La regalo o dono a alguien.;No.;Nacional - Local.
17/01/1982;Femenino;Envigado;3;De 3 a cuatro veces por año.;Tiendas en centros comerciales., Tiendas de autor o marcas locales de diseño.;Apariencia estética., Calidad.;La compro por deseo.;Si.;No.;;Acumulación de residuos.;Altos;Humano.;La regalo o dono a alguien.;Si.;Nacional - Local.
17/01/1982;Femenino;Envigado;3;Una vez por mes.;Tiendas en centros comerciales., Tiendas de autor o marcas locales de diseño.;Apariencia estética., Utilidad.;La compro por deseo.;Si.;Si.;Instrucciones de cuidado., Lugar de fabricación.;Acumulación de residuos.;Altos;Humano.;La regalo o dono a alguien.;Si.;Nacional - Local.
23/02/1982;Masculino;Sabaneta;3;Dos veces al año.;Tiendas en centros comerciales.;Apariencia estética.;La compro por deseo.;No.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Bajos;Humano.;La regalo o dono a alguien.;Si.;Nacional - Local.
28/02/1982;Masculino;Envigado;3;Una vez por mes.;Tiendas en centros comerciales.;Apariencia estética., Calidad.;La compro por deseo.;No.;No.;;Contaminación de aguas y suelos.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
2/03/1982;Femenino;Medellín;4;Una vez al año.;Tiendas en centros comerciales.;Apariencia estética., Calidad., Materiales ecológicos.;La compro por deseo.;No.;Si.;Materiales.;Acumulación de residuos.;Altos;Agua.;La regalo o dono a alguien.;No.;Nacional - Local.
8/03/1982;Femenino;Medellín;3;De 3 a cuatro veces por año.;Tiendas en centros comerciales., Tiendas de autor o marcas locales de diseño., Tiendas por departamentos o almacenes de cadena.;Apariencia estética., Utilidad., La marca o el almacén de compra.;La compro por deseo.;Si.;Si.;Instrucciones de cuidado.;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
18/03/1982;Masculino;Medellín;4;De 3 a cuatro veces por año.;Tiendas en centros comerciales.;La marca o el almacén de compra.;La compro por deseo.;Si.;Si.;Empresa fabricante.;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
22/03/1982;Femenino;Medellín;1;De 3 a cuatro veces por año.;Tiendas en centros comerciales., Tiendas por departamentos o almacenes de cadena., Tiendas de segunda mano o roperos.;Utilidad., Calidad., Los precios bajos.;La compro por su utilidad.;Si.;No.;;Oportunidad de empleos.;Medios;Humano.;La regalo o dono a alguien.;Si.;Nacional - Local.
3/04/1982;Femenino;Bello;2;De 3 a cuatro veces por año.;Tiendas en centros comerciales.;Prendas con detalles minimalistas y diferentes;La compro por su utilidad.;Si.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Altos;Suelo.;La regalo o dono a alguien.;No.;Nacional - Local.
5/04/1982;Femenino;Medellín;3;De 3 a cuatro veces por año.;Tiendas en centros comerciales.;Los precios bajos.;La compro por su utilidad.;Si.;No.;;Tendencias de conceptos y diseños.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
8/04/1982;Femenino;Medellín;3;Una vez por mes.;Tiendas en centros comerciales., Tiendas de autor o marcas locales de diseño., Catálogos físicos o revistas de ventas.;Apariencia estética., Calidad., La marca o el almacén de compra.;La compro por deseo.;Si.;Si.;Materiales., Instrucciones de cuidado.;Contaminación de aguas y suelos.;Medios;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
4/05/1982;Femenino;Envigado;4;De 3 a cuatro veces por año.;Tiendas en centros comerciales.;Calidad.;La compro por su utilidad.;Si.;Si.;Materiales.;Tendencias de conceptos y diseños.;Medios;Agua.;La regalo o dono a alguien.;No.;Nacional - Local.
16/06/1982;Femenino;Medellín;2;De 3 a cuatro veces por año.;Tiendas en centros comerciales., Tiendas de autor o marcas locales de diseño.;Apariencia estética., Utilidad.;La compro por su utilidad.;Si.;No.;;Tendencias de conceptos y diseños.;Medios;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
16/06/1982;Femenino;Medellín;2;De 3 a cuatro veces por año.;Tiendas en centros comerciales., Tiendas de autor o marcas locales de diseño.;Apariencia estética., Utilidad., Calidad.;La compro por su utilidad.;Si.;No.;;Tendencias de conceptos y diseños.;Medios;Agua.;La regalo o dono a alguien.;No.;Nacional - Local.
23/06/1982;Femenino;Medellín;3;Una vez por mes.;Tiendas en centros comerciales., Tiendas por departamentos o almacenes de cadena., Catálogos físicos o revistas de ventas.;Apariencia estética., Las tendencias o conceptos de moda., Los precios bajos.;La compro por deseo.;Si.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Altos;Humano.;La regalo o dono a alguien.;Si.;Nacional - Local.
23/06/1982;Femenino;Medellín;3;Una vez por mes.;Tiendas por departamentos o almacenes de cadena., Catálogos físicos o revistas de ventas.;Utilidad., Las tendencias o conceptos de moda., Los precios bajos.;La compro por deseo.;Si.;No.;;Contaminación de aguas y suelos.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
23/06/1982;Femenino;Medellín;3;Una vez por mes.;Tiendas en centros comerciales., Tiendas por departamentos o almacenes de cadena., Catálogos físicos o revistas de ventas.;Utilidad., Calidad., Las tendencias o conceptos de moda., Los precios bajos.;La compro por su utilidad.;No.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Medios;Humano.;La regalo o dono a alguien.;Si.;Nacional - Local.
8/07/1982;Masculino;Medellín;3;Dos veces al año.;Tiendas en centros comerciales., Tiendas por departamentos o almacenes de cadena., Catálogos físicos o revistas de ventas., Internet.;Apariencia estética., Utilidad., Calidad., La marca o el almacén de compra., El comercio justo.;La compro por su utilidad.;Si.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Medios;Humano.;La regalo o dono a alguien.;No.;Nacional - Local.
18/07/1982;Femenino;Copacabana;3;Una vez por semana.;Tiendas de autor o marcas locales de diseño.;Calidad., Las tendencias o conceptos de moda.;La compro por deseo.;Si.;No.;;Tendencias de conceptos y diseños.;Medios;Agua.;La regalo o dono a alguien.;No.;Importada.
25/07/1982;Masculino;Medellín;5;De 3 a cuatro veces por año.;Tiendas en centros comerciales., Internet.;Apariencia estética., Calidad., La marca o el almacén de compra.;La compro por deseo.;Si.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Medios;Aire.;La regalo o dono a alguien.;No.;Importada.
4/08/1982;Femenino;Medellín;4;De 3 a cuatro veces por año.;Tiendas en centros comerciales., Catálogos físicos o revistas de ventas.;Apariencia estética., Utilidad., Los precios bajos.;La compro por su utilidad.;Si.;No.;;Contaminación de aguas y suelos.;Altos;Agua.;La regalo o dono a alguien.;No.;Nacional - Local.
6/08/1982;Femenino;Medellín;5;Una vez por mes.;Tiendas en centros comerciales.;Las tendencias o conceptos de moda.;La compro por deseo.;Si.;No.;;Tendencias de conceptos y diseños.;Medios;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
6/08/1982;Femenino;Medellín;5;Una vez por mes.;Tiendas en centros comerciales.;Las tendencias o conceptos de moda.;La compro por deseo.;Si.;No.;;Tendencias de conceptos y diseños.;Medios;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
7/08/1982;Femenino;Medellín;3;Una vez por mes.;Tiendas en centros comerciales., Tiendas de autor o marcas locales de diseño.;Apariencia estética., Calidad., Las tendencias o conceptos de moda.;La compro por deseo.;Si.;No.;;Oportunidad de empleos.;Medios;Agua.;La regalo o dono a alguien.;Si.;Importada.
13/08/1982;Femenino;Medellín;4;Una vez por mes.;Tiendas en centros comerciales., Catálogos físicos o revistas de ventas., Internet.;Apariencia estética., Calidad.;La compro por deseo.;Si.;No.;;El crecimiento económico de los países.;Bajos;Humano.;La regalo o dono a alguien.;No.;Nacional - Local.
22/08/1982;Femenino;Medellín;5;Dos veces al año.;Tiendas en centros comerciales., Tiendas por departamentos o almacenes de cadena.;Calidad., La marca o el almacén de compra., Los precios bajos.;La compro por su utilidad.;Si.;No.;;Tendencias de conceptos y diseños.;Medios;Humano.;La regalo o dono a alguien.;No.;Nacional - Local.
29/08/1982;Femenino;Medellín;4;Una vez por mes.;Tiendas en centros comerciales., Tiendas de autor o marcas locales de diseño.;Apariencia estética., Utilidad., Calidad., La marca o el almacén de compra., El comercio justo.;La compro por deseo.;Si.;No.;;Oportunidad de empleos.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
5/09/1982;Femenino;Sabaneta;4;Una vez por mes.;Tiendas en centros comerciales.;Calidad.;La compro por deseo.;Si.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Altos;Humano.;La regalo o dono a alguien.;Si.;Nacional - Local.
17/09/1982;Femenino;Medellín;6;De 3 a cuatro veces por año.;Tiendas en centros comerciales., Tiendas por departamentos o almacenes de cadena.;Las tendencias o conceptos de moda., Los precios bajos.;La compro por deseo.;Si.;No.;;Acumulación de residuos.;Medios;Agua.;La llevo a un contenedor o acopio de ropa usada;Si.;Nacional - Local.
19/10/1982;Masculino;Sabaneta;4;De 3 a cuatro veces por año.;Tiendas en centros comerciales.;Los precios bajos.;La compro por su utilidad.;No.;No.;;Tendencias de conceptos y diseños.;Medios;Agua.;La regalo o dono a alguien.;No.;Nacional - Local.
30/10/1982;Femenino;Medellín;3;Una vez por mes.;Tiendas en centros comerciales., Internet.;Apariencia estética., Calidad., La marca o el almacén de compra.;La compro por su utilidad.;Si.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
31/10/1982;Masculino;Medellín;4;Dos veces al año.;Tiendas en centros comerciales.;La marca o el almacén de compra.;La compro por deseo.;Si.;Si.;Empresa fabricante.;Oportunidad de empleos.;Altos;Agua.;La regalo o dono a alguien.;No.;Nacional - Local.
4/11/1982;Femenino;Medellín;6;Dos veces al año.;Tiendas en centros comerciales., Catálogos físicos o revistas de ventas.;Apariencia estética., Calidad.;La compro por deseo.;Si.;No.;;Oportunidad de empleos.;Medios;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
28/12/1982;Femenino;Medellín;2;Dos veces al año.;Tiendas por departamentos o almacenes de cadena.;Apariencia estética., Los precios bajos.;La compro por su utilidad.;No.;No.;;Contaminación de aguas y suelos.;Altos;Agua.;La regalo o dono a alguien.;No.;Importada.
11/01/1983;Femenino;Itagüí;3;Una vez por mes.;Tiendas en centros comerciales.;Apariencia estética.;La compro por deseo.;Si.;No.;;El crecimiento económico de los países.;Bajos;Agua.;La regalo o dono a alguien.;No.;Nacional - Local.
